CustomerId,ProductId,City,State,ZipCode,Product,Category,SubCategory,Channel
1029_CId,139_PId,New York,NY,010011,Vital Signs Monitors,Business & Industrial,Medical,Mobile
1029_CId,134_PId,New York,NY,010011,Medical Stretchers & Gurneys,Business & Industrial,Medical,Mobile
1003_CId,121_PId,Bridgeport,NJ,008014,Robes,Apparel & Accessories,Clothing,Tablet
1003_CId,104_PId,Bridgeport,NJ,008014,Cat Furniture,Animals & Pet Supplies,Pet Supplies,Tablet
1023_CId,118_PId,Irving,TX,075062,Loungewear,Apparel & Accessories,Clothing,Tablet
1023_CId,107_PId,Irving,TX,075062,Cat Litter Box Liners,Animals & Pet Supplies,Pet Supplies,Tablet
1002_CId,129_PId,Brighton,MI,048116,Scrapbooking & Stamping Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1002_CId,140_PId,Brighton,MI,048116,Computer Accessory Sets,Electronics,Electronics Accessories,Desk
1002_CId,145_PId,Brighton,MI,048116,E-Book Reader Cases,Electronics,Electronics Accessories,Desk
1002_CId,130_PId,Brighton,MI,048116,Toy Craft Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1002_CId,140_PId,Brighton,MI,048116,Computer Accessory Sets,Electronics,Electronics Accessories,Desk
1006_CId,123_PId,Ashland,OH,044805,Drawing & Painting Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1006_CId,150_PId,Ashland,OH,044805,Laptop Docking Stations,Electronics,Electronics Accessories,Tablet
1006_CId,137_PId,Ashland,OH,044805,Stethoscopes,Business & Industrial,Medical,Tablet
1006_CId,105_PId,Ashland,OH,044805,Cat Furniture Accessories,Animals & Pet Supplies,Pet Supplies,Tablet
1030_CId,110_PId,Conroe,TX,077301,Cat Toys,Animals & Pet Supplies,Pet Supplies,Desk
1030_CId,142_PId,Conroe,TX,077301,Computer Risers & Stands,Electronics,Electronics Accessories,Desk
1030_CId,114_PId,Conroe,TX,077301,Kimono Outerwear,Apparel & Accessories,Clothing,Desk
1022_CId,139_PId,San Jose,CA,095111,Vital Signs Monitors,Business & Industrial,Medical,Mobile
1022_CId,132_PId,San Jose,CA,095111,Gait Belts,Business & Industrial,Medical,Mobile
1022_CId,115_PId,San Jose,CA,095111,Kimonos,Apparel & Accessories,Clothing,Mobile
1022_CId,103_PId,San Jose,CA,095111,Cat Food,Animals & Pet Supplies,Pet Supplies,Mobile
1012_CId,120_PId,Middle Island,NY,011953,Pajamas,Apparel & Accessories,Clothing,Mobile
1012_CId,131_PId,Middle Island,NY,011953,Automated External Defibrillators,Business & Industrial,Medical,Mobile
1012_CId,131_PId,Middle Island,NY,011953,Automated External Defibrillators,Business & Industrial,Medical,Mobile
1012_CId,105_PId,Middle Island,NY,011953,Cat Furniture Accessories,Animals & Pet Supplies,Pet Supplies,Mobile
1016_CId,108_PId,Phoenix,AZ,085013,Cat Litter Box Mats,Animals & Pet Supplies,Pet Supplies,Desk
1016_CId,112_PId,Phoenix,AZ,085013,Hakama Trousers,Apparel & Accessories,Clothing,Desk
1016_CId,107_PId,Phoenix,AZ,085013,Cat Litter Box Liners,Animals & Pet Supplies,Pet Supplies,Desk
1016_CId,142_PId,Phoenix,AZ,085013,Computer Risers & Stands,Electronics,Electronics Accessories,Desk
1016_CId,127_PId,Phoenix,AZ,085013,Mosaic Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1011_CId,131_PId,Kulpsville,PA,019443,Automated External Defibrillators,Business & Industrial,Medical,Tablet
1011_CId,147_PId,Kulpsville,PA,019443,PDA Cases,Electronics,Electronics Accessories,Tablet
1011_CId,130_PId,Kulpsville,PA,019443,Toy Craft Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1017_CId,129_PId,Mc Minnville,TN,037110,Scrapbooking & Stamping Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1017_CId,116_PId,Mc Minnville,TN,037110,Religious Ceremonial Clothing,Apparel & Accessories,Clothing,Tablet
1011_CId,129_PId,Kulpsville,PA,019443,Scrapbooking & Stamping Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1011_CId,110_PId,Kulpsville,PA,019443,Cat Toys,Animals & Pet Supplies,Pet Supplies,Desk
1011_CId,139_PId,Kulpsville,PA,019443,Vital Signs Monitors,Business & Industrial,Medical,Desk
1011_CId,111_PId,Kulpsville,PA,019443,Dirndls,Apparel & Accessories,Clothing,Desk
1011_CId,106_PId,Kulpsville,PA,019443,Cat Litter,Animals & Pet Supplies,Pet Supplies,Desk
1025_CId,106_PId,Middlesex,NJ,008846,Cat Litter,Animals & Pet Supplies,Pet Supplies,Desk
1025_CId,119_PId,Middlesex,NJ,008846,Nightgowns,Apparel & Accessories,Clothing,Desk
1025_CId,124_PId,Middlesex,NJ,008846,Fabric Repair Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1025_CId,113_PId,Middlesex,NJ,008846,Japanese Black Formal Wear,Apparel & Accessories,Clothing,Desk
