CustomerId,ProductId,City,State,ZipCode,Product,Category,SubCategory,Channel
1007_CId,104_PId,Chicago,IL,060632,Cat Furniture,Animals & Pet Supplies,Pet Supplies,Desk
1023_CId,101_PId,Irving,TX,075062,Cat Apparel,Animals & Pet Supplies,Pet Supplies,Tablet
1028_CId,124_PId,Easton,MD,021601,Fabric Repair Kits,Arts & Entertainment,Hobbies & Creative Arts,Mobile
1018_CId,125_PId,Milwaukee,WI,053207,Incense Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1018_CId,111_PId,Milwaukee,WI,053207,Dirndls,Apparel & Accessories,Clothing,Tablet
1017_CId,119_PId,Mc Minnville,TN,037110,Nightgowns,Apparel & Accessories,Clothing,Desk
1020_CId,112_PId,Rockford,IL,061109,Hakama Trousers,Apparel & Accessories,Clothing,Tablet
1017_CId,105_PId,Mc Minnville,TN,037110,Cat Furniture Accessories,Animals & Pet Supplies,Pet Supplies,Tablet
1018_CId,112_PId,Milwaukee,WI,053207,Hakama Trousers,Apparel & Accessories,Clothing,Tablet
1018_CId,126_PId,Milwaukee,WI,053207,Jewelry Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1010_CId,109_PId,Baltimore,MD,021224,Cat Litter Boxes,Animals & Pet Supplies,Pet Supplies,Tablet
1026_CId,146_PId,Stevens Point,WI,054481,PDA Accessories,Electronics,Electronics Accessories,Desk
1001_CId,116_PId,New Orleans,LA,070116,Religious Ceremonial Clothing,Apparel & Accessories,Clothing,Tablet
1012_CId,140_PId,Middle Island,NY,011953,Computer Accessory Sets,Electronics,Electronics Accessories,Tablet
1006_CId,106_PId,Ashland,OH,044805,Cat Litter,Animals & Pet Supplies,Pet Supplies,Desk
1015_CId,148_PId,Laredo,TX,078045,Keyboard & Mouse Wrist Rests,Electronics,Electronics Accessories,Tablet
1017_CId,116_PId,Mc Minnville,TN,037110,Religious Ceremonial Clothing,Apparel & Accessories,Clothing,Desk
1015_CId,143_PId,Laredo,TX,078045,Handheld Device Accessories,Electronics,Electronics Accessories,Mobile
1020_CId,110_PId,Rockford,IL,061109,Cat Toys,Animals & Pet Supplies,Pet Supplies,Tablet
1013_CId,148_PId,Los Angeles,CA,090034,Keyboard & Mouse Wrist Rests,Electronics,Electronics Accessories,Desk
1004_CId,104_PId,Anchorage,AK,099501,Cat Furniture,Animals & Pet Supplies,Pet Supplies,Desk
1016_CId,126_PId,Phoenix,AZ,085013,Jewelry Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Mobile
1029_CId,122_PId,New York,NY,010011,Candle Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Mobile
1002_CId,120_PId,Brighton,MI,048116,Pajamas,Apparel & Accessories,Clothing,Mobile
1018_CId,145_PId,Milwaukee,WI,053207,E-Book Reader Cases,Electronics,Electronics Accessories,Desk
1006_CId,103_PId,Ashland,OH,044805,Cat Food,Animals & Pet Supplies,Pet Supplies,Tablet
1002_CId,136_PId,Brighton,MI,048116,Patient Lifts,Business & Industrial,Medical,Tablet
1029_CId,138_PId,New York,NY,010011,Vital Signs Monitor Accessories,Business & Industrial,Medical,Mobile
1003_CId,120_PId,Bridgeport,NJ,008014,Pajamas,Apparel & Accessories,Clothing,Desk
1013_CId,133_PId,Los Angeles,CA,090034,Medical Reflex Hammers & Tuning Forks,Business & Industrial,Medical,Mobile
1028_CId,143_PId,Easton,MD,021601,Handheld Device Accessories,Electronics,Electronics Accessories,Desk
1008_CId,146_PId,San Jose,CA,095111,PDA Accessories,Electronics,Electronics Accessories,Mobile
1017_CId,105_PId,Mc Minnville,TN,037110,Cat Furniture Accessories,Animals & Pet Supplies,Pet Supplies,Desk
1014_CId,128_PId,Chagrin Falls,OH,044023,Needlecraft Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1009_CId,149_PId,Sioux Falls,SD,057105,Keyboard Trays & Platforms,Electronics,Electronics Accessories,Mobile
