CustomerId,ProductId,City,State,ZipCode,Product,Category,SubCategory,Channel
1002_CId,115_PId,Brighton,MI,048116,Kimonos,Apparel & Accessories,Clothing,Desk
1021_CId,108_PId,Aston,PA,019014,Cat Litter Box Mats,Animals & Pet Supplies,Pet Supplies,Mobile
1025_CId,109_PId,Middlesex,NJ,008846,Cat Litter Boxes,Animals & Pet Supplies,Pet Supplies,Mobile
1019_CId,102_PId,Taylor,MI,048180,Cat Beds,Animals & Pet Supplies,Pet Supplies,Tablet
1025_CId,122_PId,Middlesex,NJ,008846,Candle Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1025_CId,124_PId,Middlesex,NJ,008846,Fabric Repair Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1022_CId,125_PId,San Jose,CA,095111,Incense Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1016_CId,130_PId,Phoenix,AZ,085013,Toy Craft Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1010_CId,120_PId,Baltimore,MD,021224,Pajamas,Apparel & Accessories,Clothing,Desk
1027_CId,128_PId,Shawnee,KS,066218,Needlecraft Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1012_CId,134_PId,Middle Island,NY,011953,Medical Stretchers & Gurneys,Business & Industrial,Medical,Desk
1004_CId,136_PId,Anchorage,AK,099501,Patient Lifts,Business & Industrial,Medical,Mobile
1011_CId,127_PId,Kulpsville,PA,019443,Mosaic Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1003_CId,128_PId,Bridgeport,NJ,008014,Needlecraft Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
