CustomerId,ProductId,City,State,ZipCode,Product,Category,SubCategory,Channel
1007_CId,104_PId,Chicago,IL,060632,Cat Furniture,Animals & Pet Supplies,Pet Supplies,Desk
1015_CId,135_PId,Laredo,TX,078045,Otoscopes & Ophthalmoscopes,Business & Industrial,Medical,Mobile
1021_CId,114_PId,Aston,PA,019014,Kimono Outerwear,Apparel & Accessories,Clothing,Tablet
1011_CId,140_PId,Kulpsville,PA,019443,Computer Accessory Sets,Electronics,Electronics Accessories,Tablet
1026_CId,111_PId,Stevens Point,WI,054481,Dirndls,Apparel & Accessories,Clothing,Desk
1013_CId,121_PId,Los Angeles,CA,090034,Robes,Apparel & Accessories,Clothing,Mobile
1026_CId,140_PId,Stevens Point,WI,054481,Computer Accessory Sets,Electronics,Electronics Accessories,Mobile
1002_CId,132_PId,Brighton,MI,048116,Gait Belts,Business & Industrial,Medical,Mobile
1019_CId,143_PId,Taylor,MI,048180,Handheld Device Accessories,Electronics,Electronics Accessories,Mobile
1005_CId,128_PId,Hamilton,OH,045011,Needlecraft Kits,Arts & Entertainment,Hobbies & Creative Arts,Tablet
1025_CId,105_PId,Middlesex,NJ,008846,Cat Furniture Accessories,Animals & Pet Supplies,Pet Supplies,Desk
1016_CId,130_PId,Phoenix,AZ,085013,Toy Craft Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1014_CId,122_PId,Chagrin Falls,OH,044023,Candle Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1014_CId,147_PId,Chagrin Falls,OH,044023,PDA Cases,Electronics,Electronics Accessories,Desk
1013_CId,110_PId,Los Angeles,CA,090034,Cat Toys,Animals & Pet Supplies,Pet Supplies,Desk
1014_CId,142_PId,Chagrin Falls,OH,044023,Computer Risers & Stands,Electronics,Electronics Accessories,Tablet
1007_CId,118_PId,Chicago,IL,060632,Loungewear,Apparel & Accessories,Clothing,Desk
1006_CId,101_PId,Ashland,OH,044805,Cat Apparel,Animals & Pet Supplies,Pet Supplies,Mobile
1002_CId,125_PId,Brighton,MI,048116,Incense Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Mobile
1011_CId,133_PId,Kulpsville,PA,019443,Medical Reflex Hammers & Tuning Forks,Business & Industrial,Medical,Mobile
1020_CId,141_PId,Rockford,IL,061109,Computer Covers & Skins,Electronics,Electronics Accessories,Tablet
1004_CId,122_PId,Anchorage,AK,099501,Candle Making Kits,Arts & Entertainment,Hobbies & Creative Arts,Desk
1013_CId,119_PId,Los Angeles,CA,090034,Nightgowns,Apparel & Accessories,Clothing,Desk
1007_CId,110_PId,Chicago,IL,060632,Cat Toys,Animals & Pet Supplies,Pet Supplies,Mobile
1026_CId,118_PId,Stevens Point,WI,054481,Loungewear,Apparel & Accessories,Clothing,Desk
1015_CId,143_PId,Laredo,TX,078045,Handheld Device Accessories,Electronics,Electronics Accessories,Desk
1020_CId,134_PId,Rockford,IL,061109,Medical Stretchers & Gurneys,Business & Industrial,Medical,Desk
1010_CId,117_PId,Baltimore,MD,021224,Baptism,Apparel & Accessories,Clothing,Tablet
1008_CId,131_PId,San Jose,CA,095111,Automated External Defibrillators,Business & Industrial,Medical,Desk
1019_CId,133_PId,Taylor,MI,048180,Medical Reflex Hammers & Tuning Forks,Business & Industrial,Medical,Tablet
